organism_name,description
Cannabis sativa subsp. indica,"Cannabis sativa subsp. indica is a subspecies of Cannabis sativa, recognized for specific botanical features. These features could include aspects of its growth habit, leaves, or other attributes."
Saccharum hybrid cultivar SP80-3280,"Saccharum hybrid cultivar SP80-3280 is a cultivated variety of Saccharum, known for certain botanical features. These features may include aspects of its growth habit, stems, or other traits that define its appearance."
Beta vulgaris subsp. maritima,"Beta vulgaris subsp. maritima is a subspecies of Beta vulgaris, recognized for specific botanical features. These features could include aspects of its growth habit, leaves, or other attributes."
Beta vulgaris subsp. cicla,"Beta vulgaris subsp. cicla is another subspecies of Beta vulgaris, distinguished by specific characteristics related to its leaves, stems, or other botanical attributes."
Allium cepa var. aggregatum,"Allium cepa var. aggregatum is a variety of Allium cepa, known for certain botanical features. These features may include aspects of its growth habit, bulbs, or other traits that distinguish it."
Arabidopsis halleri,"Arabidopsis halleri is a plant species recognized for specific botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Arabidopsis halleri subsp. halleri,"Arabidopsis halleri subsp. halleri is a subspecies of Arabidopsis halleri, known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Vigna unguiculata subsp. unguiculata,"Vigna unguiculata subsp. unguiculata is a subspecies of Vigna unguiculata, recognized for specific botanical features. These features may include aspects of its growth habit, flowers, or other traits that define its appearance."
Vigna unguiculata subsp. dekindtiana,"Vigna unguiculata subsp. dekindtiana is another subspecies of Vigna unguiculata, distinguished by specific characteristics related to its growth habit, flowers, or other botanical attributes."
Arabidopsis lyrata,"Arabidopsis lyrata is a plant species known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Persea americana var. drymifolia,"Persea americana var. drymifolia is a variety of Persea americana, recognized for specific botanical features. These features could include aspects of its leaves, fruit, or other attributes."
Pueraria montana var. thomsonii,"Pueraria montana var. thomsonii is a variety of Pueraria montana, recognized for specific characteristics. These characteristics may include aspects of its growth habit, flowers, or other botanical traits."
Perilla frutescens var. frutescens,"Perilla frutescens var. frutescens is a variety of Perilla frutescens, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that define its appearance."
Perilla frutescens var. hirtella,"Perilla frutescens var. hirtella is another variety of Perilla frutescens, distinguished by specific characteristics related to its growth habit, leaves, or other botanical attributes."
Populus nigra var. italica,"Populus nigra var. italica is a variety of Populus nigra, recognized for specific botanical features. These features could include aspects of its growth habit, leaves, or other attributes."
Gastrodia elata f. glauca,"Gastrodia elata f. glauca is a form of Gastrodia elata, known for certain botanical features. These features may include aspects of its growth habit, flowers, or other traits that distinguish it."
Apium graveolens Rapaceum Group,"Apium graveolens Rapaceum Group is a cultivar group of Apium graveolens, known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that define its appearance."
Phragmites australis subsp. australis,"Phragmites australis subsp. australis is a subspecies of Phragmites australis, recognized for specific botanical features. These features could include aspects of its growth habit, inflorescence, or other attributes."
Coix lacryma-jobi var. ma-yuen,"Coix lacryma-jobi var. ma-yuen is a variety of Coix lacryma-jobi, recognized for specific botanical features. These features may include aspects of its growth habit, seeds, or other traits that define its appearance."
Prunus yedoensis var. nudiflora,"Prunus yedoensis var. nudiflora is a variety of Prunus yedoensis, known for certain botanical features. These features may include aspects of its flowers, leaves, or other traits that distinguish it."
Solanum stenotomum subsp. goniocalyx,"Solanum stenotomum subsp. goniocalyx is a subspecies of Solanum stenotomum, recognized for specific botanical features. These features could include aspects of its growth habit, flowers, or other attributes."
Solanum stenotomum subsp. stenotomum,"Solanum stenotomum subsp. stenotomum is another subspecies of Solanum stenotomum, distinguished by specific characteristics related to its growth habit, flowers, or other botanical attributes."
Erythroxylum macrophyllum,"Erythroxylum macrophyllum is a plant species known for certain botanical features. These features may include aspects of its growth habit, leaves, or other traits that distinguish it."
Fraxinus angustifolia subsp. oxycarpa,"Fraxinus angustifolia subsp. oxycarpa is a subspecies of Fraxinus angustifolia, recognized for specific botanical features. These features could include aspects of its leaves, seeds, or other attributes."
Triticum aestivum subsp. tibeticum,"Triticum aestivum subsp. tibeticum is a subspecies of Triticum aestivum, known for certain botanical features. These features may include aspects of its growth habit, inflorescence, or other traits that define its appearance."
Musa acuminata AAA Group,"Musa acuminata AAA Group is a cultivated group of Musa acuminata, known for certain botanical features. These features may include aspects of its growth habit, fruit, or other traits that distinguish it."
